antecedent,consequent,support,confidence,lift
Crackers,Cookies,0.133,0.5859030837004405,2.5697503671071953
Cookies,Crackers,0.133,0.5833333333333334,2.5697503671071953
Chips,Crackers,0.122,0.5700934579439252,2.5114249248631064
Juice,Coffee,0.121,0.568075117370892,2.629977395235611
Coffee,Juice,0.121,0.5601851851851852,2.6299773952356116
Beef,Pork,0.117,0.5391705069124424,2.428695977083074
Crackers,Chips,0.122,0.5374449339207048,2.5114249248631064
Beef,Chicken,0.115,0.5299539170506913,2.419880899774846
Croissant,Muffin,0.107,0.5297029702970296,2.4298301389772
Pork,Beef,0.117,0.5270270270270271,2.4286959770830743
Chicken,Beef,0.115,0.5251141552511416,2.419880899774846
Chicken,Pork,0.113,0.5159817351598174,2.3242420502694476
Bread,Muffin,0.107,0.514423076923077,2.3597388849682432
Croissant,Bread,0.103,0.5099009900990098,2.4514470677837013
Pork,Chicken,0.113,0.509009009009009,2.3242420502694476
Chips,Cookies,0.108,0.5046728971962617,2.2134776192818495
Tea,Coffee,0.106,0.5,2.314814814814815
